place,year,yield_t_ha
Morang,198889,2.383
Morang,199091,2.381
Morang,199192,2.431
Morang,199293,2.3
Morang,199394,2.539
Morang,199495,2.104
Morang,199596,2.597
Morang,199697,2.61
Morang,199798,2.53
Morang,199899,2.589
Morang,199900,2.797
Morang,200001,3.1
Morang,200102,3.103
Morang,200203,3.106
Morang,200304,3.284
Morang,200405,3.284
Morang,200506,3.118
Morang,200607,2.98
Morang,200708,3.1
Morang,200809,3.174
Morang,200910,3.17
Morang,201011,3.3
Morang,201112,3.55
Morang,201213,3.13
Morang,201314,3.976
Morang,201415,3.5
Morang,201516,3.538
Morang,201617,3.58
Morang,201718,3.79
Morang,201819,4.14
Morang,201920,4.24
Morang,202021,4.25
Morang,202122,4.03
Rautahat,197980,1.559
Rautahat,198081,1.78
Rautahat,198182,1.8
Rautahat,198283,0.945
Rautahat,198384,1.659
Rautahat,198485,1.762
Rautahat,198586,1.7
Rautahat,198687,1.346
Rautahat,198788,1.856
Rautahat,198889,2.004
Rautahat,199091,1.825
Rautahat,199192,1.79
Rautahat,199293,1.7
Rautahat,199394,2.174
Rautahat,199495,1.85
Rautahat,199596,2.279
Rautahat,199697,2.292
Rautahat,199798,2.45
Rautahat,199899,1.905
Rautahat,199900,2.357
Rautahat,200001,2.5
Rautahat,200102,2.785
Rautahat,200203,2.66
Rautahat,200304,2.8
Rautahat,200405,2.534
Rautahat,200506,2.326
Rautahat,200607,2.23
Rautahat,200708,2.433
Rautahat,200809,2.66
Rautahat,200910,2.472
Rautahat,201011,2.651
Rautahat,201112,3.35
Rautahat,201213,2.243
Rautahat,201314,3.135
Rautahat,201415,3.722
Rautahat,201516,3.326
Rautahat,201617,3.342
Rautahat,201718,3.365
Rautahat,201819,3.41
Rautahat,201920,3.44
Rautahat,202021,3.51
Rautahat,202122,3.2
Saptari,197980,1.98
Saptari,198081,1.98
Saptari,198182,1.4
Saptari,198283,1.11
Saptari,198384,1.754
Saptari,198485,1.61
Saptari,198586,1.7
Saptari,198687,1.313
Saptari,198788,1.949
Saptari,198889,1.709
Saptari,199091,2.205
Saptari,199192,2.412
Saptari,199293,2.2
Saptari,199394,2.431
Saptari,199495,2.225
Saptari,199596,2.418
Saptari,199697,2.5
Saptari,199798,2.4
Saptari,199899,2.414
Saptari,199900,2.579
Saptari,200001,2.708
Saptari,200102,2.394
Saptari,200203,2.406
Saptari,200304,2.808
Saptari,200405,3.0
Saptari,200506,2.316
Saptari,200607,1.84
Saptari,200708,2.25
Saptari,200809,2.537
Saptari,200910,2.516
Saptari,201011,3.1
Saptari,201112,2.95
Saptari,201213,1.998
Saptari,201314,2.586
Saptari,201415,2.714
Saptari,201516,2.578
Saptari,201617,2.994
Saptari,201718,2.929
Saptari,201819,3.52
Saptari,201920,3.56
Saptari,202021,3.54
Saptari,202122,3.39
Sarlahi,197980,1.582
Sarlahi,198081,1.89
Sarlahi,198182,1.9
Sarlahi,198283,0.672
Sarlahi,198384,1.967
Sarlahi,198485,1.963
Sarlahi,198586,2.0
Sarlahi,198687,1.561
Sarlahi,198788,2.043
Sarlahi,198889,2.321
Sarlahi,199091,2.475
Sarlahi,199192,2.316
Sarlahi,199293,1.95
Sarlahi,199394,2.2
Sarlahi,199495,1.95
Sarlahi,199596,2.286
Sarlahi,199697,2.301
Sarlahi,199798,2.301
Sarlahi,199899,2.003
Sarlahi,199900,2.506
Sarlahi,200001,2.601
Sarlahi,200102,2.803
Sarlahi,200203,2.49
Sarlahi,200304,2.679
Sarlahi,200405,2.57
Sarlahi,200506,2.329
Sarlahi,200607,2.28
Sarlahi,200708,2.323
Sarlahi,200809,2.49
Sarlahi,200910,2.483
Sarlahi,201011,2.83
Sarlahi,201112,3.65
Sarlahi,201213,2.419
Sarlahi,201314,2.483
Sarlahi,201415,2.8
Sarlahi,201516,2.762
Sarlahi,201617,2.804
Sarlahi,201718,3.44
Sarlahi,201819,3.56
Sarlahi,201920,3.62
Sarlahi,202021,3.65
Sarlahi,202122,3.46
Siraha,197980,1.994
Siraha,198081,1.99
Siraha,198182,1.67
Siraha,198283,0.927
Siraha,198384,1.703
Siraha,198485,1.577
Siraha,198586,1.652
Siraha,198687,1.201
Siraha,198788,1.995
Siraha,198889,1.839
Siraha,199091,2.057
Siraha,199192,2.503
Siraha,199293,1.95
Siraha,199394,2.343
Siraha,199495,1.837
Siraha,199596,1.915
Siraha,199697,2.098
Siraha,199798,2.299
Siraha,199899,2.25
Siraha,199900,2.454
Siraha,200001,2.4
Siraha,200102,2.309
Siraha,200203,2.699
Siraha,200304,2.858
Siraha,200405,2.9
Siraha,200506,2.787
Siraha,200607,2.05
Siraha,200708,2.21
Siraha,200809,2.321
Siraha,200910,1.7
Siraha,201011,2.1
Siraha,201112,2.871
Siraha,201213,1.726
Siraha,201314,2.534
Siraha,201415,2.647
Siraha,201516,2.537
Siraha,201617,2.897
Siraha,201718,2.92
Siraha,201819,3.43
Siraha,201920,3.52
Siraha,202021,3.56
Siraha,202122,3.37
